gene	metabolite
YBR036C	mannosylinositol phosphorylceramide B (C24)
YBR036C	mannosylinositol phosphorylceramide B (C26)
YBR036C	mannosylinositol phosphorylceramide B' (C24)
YBR036C	mannosylinositol phosphorylceramide B' (C26)
YBR036C	mannosylinositol phosphorylceramide C (C24)
YBR036C	mannosylinositol phosphorylceramide C (C26)
YBR036C	mannosylinositol phosphorylceramide D (C24)
YBR036C	mannosylinositol phosphorylceramide D (C26)
YBR038W	H+
YBR038W	chitin
YBR038W	UDP
YBR038W	UDP-N-acetyl-alpha-D-glucosamine
YBR039W	H+
YBR039W	H2O
YBR039W	ADP
YBR039W	ATP
YBR039W	phosphate
YBR041W	ATP
YBR041W	AMP
YBR041W	coenzyme A
YBR041W	diphosphate
YBR041W	docosanoyl-CoA
YBR041W	tetracosanoyl-CoA
YBR041W	hexacosanoyl-CoA
YBR041W	behenate
YBR041W	lignoceric acid
YBR041W	cerotic acid
YBR042C	coenzyme A
YBR042C	stearoyl-CoA
YBR042C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)
YBR042C	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)
YBR042C	sn-2-acyl-1-lysophosphatidylinositol (16:1)
YBR042C	sn-2-acyl-1-lysophosphatidylinositol (18:1)
YBR058C-A	carbon dioxide
YBR058C-A	coenzyme A
YBR058C-A	palmitoyl-CoA
YBR058C-A	3-ketosphinganine
YBR058C-A	L-serine
YBR068C	H+
YBR068C	L-cysteine
YBR068C	L-isoleucine
YBR068C	L-alanine
YBR068C	L-leucine
YBR068C	L-methionine
YBR068C	L-phenylalanine
YBR068C	L-tryptophan
YBR068C	L-tyrosine
YBR068C	L-valine
YBR069C	H+
YBR069C	L-cysteine
YBR069C	L-isoleucine
YBR069C	L-histidine
YBR069C	L-leucine
YBR069C	L-tryptophan
YBR069C	L-tyrosine
YBR069C	L-valine
YBR069C	L-threonine
YBR084W	H+
YBR084W	H2O
YBR084W	ADP
YBR084W	ATP
YBR084W	phosphate
YBR084W	5,10-methenyl-THF
YBR084W	5,10-methylenetetrahydrofolate
YBR084W	THF
YBR084W	NADP(+)
YBR084W	NADPH
YBR084W	10-formyl-THF
YBR084W	formate
YBR085W	ADP
YBR085W	ATP
YBR092C	H+
YBR092C	H2O
YBR092C	phosphate
YBR092C	FMN
YBR092C	riboflavin
YBR092C	TDP
YBR092C	thiamine
YBR092C	TMP
YBR093C	H2O
YBR093C	phosphate
YBR093C	FMN
YBR093C	riboflavin
YBR097W	H+
YBR097W	ADP
YBR097W	ATP
YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)
YBR097W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)
YBR110W	GDP
YBR110W	GDP-alpha-D-mannose
YBR110W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
YBR110W	N,N'-diacetylchitobiosyldiphosphodolichol
YBR115C	H+
YBR115C	ATP
YBR115C	AMP
YBR115C	diphosphate
YBR115C	NADP(+)
YBR115C	NADPH
YBR115C	L-2-aminoadipate
YBR115C	L-allysine
YBR117C	ribose-5-phosphate
YBR117C	D-erythrose 4-phosphate
YBR117C	D-fructose 6-phosphate
YBR117C	D-xylulose 5-phosphate
YBR117C	glyceraldehyde 3-phosphate
YBR117C	sedoheptulose 7-phosphate
YBR121C	ATP
YBR121C	L-glycine
YBR121C	AMP
YBR121C	diphosphate
YBR121C	Gly-tRNA(Gly)
YBR121C	tRNA(Gly)
YBR126C	H+
YBR126C	H2O
YBR126C	phosphate
YBR126C	UDP-D-glucose
YBR126C	UDP
YBR126C	alpha,alpha-trehalose 6-phosphate
YBR126C	D-glucose 6-phosphate
YBR126C	trehalose
YBR127C	H+
YBR127C	H2O
YBR127C	ADP
YBR127C	ATP
YBR127C	phosphate
YBR132C	H+
YBR132C	(R)-carnitine
YBR132C	spermidine
YBR145W	H+
YBR145W	NAD
YBR145W	NADH
YBR145W	2-methylbutanal
YBR145W	2-methylbutanol
YBR145W	2-phenylethanol
YBR145W	3-methylbutanal
YBR145W	acetaldehyde
YBR145W	ethanol
YBR145W	indol-3-ylacetaldehyde
YBR145W	isoamylol
YBR145W	isobutanol
YBR145W	isobutyraldehyde
YBR145W	phenylacetaldehyde
YBR145W	tryptophol
YBR149W	H+
YBR149W	NADP(+)
YBR149W	NADPH
YBR149W	D-arabinono-1,4-lactone
YBR149W	D-arabinose
YBR153W	H+
YBR153W	NADP(+)
YBR153W	NADPH
YBR153W	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine
YBR153W	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone
YBR159W	H+
YBR159W	NADP(+)
YBR159W	NADPH
YBR159W	3-oxotetradecanoyl-CoA
YBR159W	3-oxopalmitoyl-CoA
YBR159W	3-oxooctadecanoyl-CoA
YBR159W	3-oxoicosanoyl-CoA
YBR159W	3-oxodocosanoyl-CoA
YBR159W	3-oxotetracosanoyl-CoA
YBR159W	3-oxohexacosanoyl-CoA
YBR159W	(S)-3-hydroxytetradecanoyl-CoA
YBR159W	(S)-3-hydroxypalmitoyl-CoA
YBR159W	3-hydroxyoctadecanoyl-CoA
YBR159W	3-hydroxyicosanoyl-CoA
YBR159W	3-hydroxydocosanoyl-CoA
YBR159W	3-hydroxytetracosanoyl-CoA
YBR159W	(S)-3-hydroxyhexacosanoyl-CoA
YBR161W	GDP
YBR161W	GDP-alpha-D-mannose
YBR161W	inositol-P-ceramide A (C24)
YBR161W	inositol-P-ceramide A (C26)
YBR161W	inositol-P-ceramide B (C24)
YBR161W	inositol-P-ceramide B (C26)
YBR161W	inositol-P-ceramide B' (C24)
YBR161W	inositol-P-ceramide B' (C26)
YBR161W	inositol-P-ceramide C (C24)
YBR161W	inositol-P-ceramide C (C26)
YBR161W	inositol-P-ceramide D (C24)
YBR161W	inositol-P-ceramide D (C26)
YBR161W	mannosylinositol phosphorylceramide A (C24)
YBR161W	mannosylinositol phosphorylceramide A (C26)
YBR161W	mannosylinositol phosphorylceramide B (C24)
YBR161W	mannosylinositol phosphorylceramide B (C26)
YBR161W	mannosylinositol phosphorylceramide B' (C24)
YBR161W	mannosylinositol phosphorylceramide B' (C26)
YBR161W	mannosylinositol phosphorylceramide C (C24)
YBR161W	mannosylinositol phosphorylceramide C (C26)
YBR161W	mannosylinositol phosphorylceramide D (C24)
YBR161W	mannosylinositol phosphorylceramide D (C26)
YBR166C	carbon dioxide
YBR166C	NADP(+)
YBR166C	NADPH
YBR166C	3-(4-hydroxyphenyl)pyruvate
YBR166C	prephenate
YBR176W	H2O
YBR176W	5,10-methylenetetrahydrofolate
YBR176W	THF
YBR176W	2-dehydropantoate
YBR176W	3-methyl-2-oxobutanoate
YBR180W	N,N'-diformyldityrosine
YBR183W	lignoceric acid
YBR183W	ceramide-2 (C24)
YBR183W	phytosphingosine
YBR192W	H+
YBR192W	FMN
YBR192W	CTP
YBR192W	UTP
YBR192W	CMP
YBR192W	UMP
YBR196C	D-fructose 6-phosphate
YBR196C	D-glucose 6-phosphate
YBR199W	H+
YBR199W	GDP
YBR199W	GDP-alpha-D-mannose
YBR199W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
YBR199W	alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
YBR204C	H+
YBR204C	H2O
YBR204C	palmitate
YBR204C	palmitoleate
YBR204C	stearate
YBR204C	oleate
YBR204C	diglyceride (1-16:0, 2-16:1)
YBR204C	triglyceride (1-16:0, 2-16:1, 3-16:0)
YBR204C	diglyceride (1-16:0, 2-18:1)
YBR204C	triglyceride (1-16:0, 2-18:1, 3-16:0)
YBR204C	diglyceride (1-16:1, 2-16:1)
YBR204C	triglyceride (1-16:1, 2-16:1, 3-16:0)
YBR204C	diglyceride (1-16:1, 2-18:1)
YBR204C	triglyceride (1-16:1, 2-18:1, 3-16:0)
YBR204C	diglyceride (1-18:0, 2-16:1)
YBR204C	triglyceride (1-18:0, 2-16:1, 3-16:0)
YBR204C	diglyceride (1-18:0, 2-18:1)
YBR204C	triglyceride (1-18:0, 2-18:1, 3-16:0)
YBR204C	diglyceride (1-18:1, 2-16:1)
YBR204C	triglyceride (1-18:1, 2-16:1, 3-16:0)
YBR204C	diglyceride (1-18:1, 2-18:1)
YBR204C	triglyceride (1-18:1, 2-18:1, 3-16:0)
YBR204C	triglyceride (1-16:0, 2-16:1, 3-16:1)
YBR204C	triglyceride (1-16:0, 2-18:1, 3-16:1)
YBR204C	triglyceride (1-16:1, 2-16:1, 3-16:1)
YBR204C	triglyceride (1-16:1, 2-18:1, 3-16:1)
YBR204C	triglyceride (1-18:0, 2-16:1, 3-16:1)
YBR204C	triglyceride (1-18:0, 2-18:1, 3-16:1)
YBR204C	triglyceride (1-18:1, 2-16:1, 3-16:1)
YBR204C	triglyceride (1-18:1, 2-18:1, 3-16:1)
YBR204C	triglyceride (1-16:0, 2-16:1, 3-18:0)
YBR204C	triglyceride (1-16:0, 2-18:1, 3-18:0)
YBR204C	triglyceride (1-16:1, 2-16:1, 3-18:0)
YBR204C	triglyceride (1-16:1, 2-18:1, 3-18:0)
YBR204C	triglyceride (1-18:0, 2-16:1, 3-18:0)
YBR204C	triglyceride (1-18:0, 2-18:1, 3-18:0)
YBR204C	triglyceride (1-18:1, 2-16:1, 3-18:0)
YBR204C	triglyceride (1-18:1, 2-18:1, 3-18:0)
YBR204C	triglyceride (1-16:0, 2-16:1, 3-18:1)
YBR204C	triglyceride (1-16:0, 2-18:1, 3-18:1)
YBR204C	triglyceride (1-16:1, 2-16:1, 3-18:1)
YBR204C	triglyceride (1-16:1, 2-18:1, 3-18:1)
YBR204C	triglyceride (1-18:0, 2-16:1, 3-18:1)
YBR204C	triglyceride (1-18:0, 2-18:1, 3-18:1)
YBR204C	triglyceride (1-18:1, 2-16:1, 3-18:1)
YBR204C	triglyceride (1-18:1, 2-18:1, 3-18:1)
YBR205W	H+
YBR205W	GDP
YBR205W	GDP-alpha-D-mannose
YBR205W	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
YBR205W	alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
YBR208C	H+
YBR208C	H2O
YBR208C	ADP
YBR208C	ATP
YBR208C	phosphate
YBR208C	ammonium
YBR208C	carbon dioxide
YBR208C	bicarbonate
YBR208C	urea
YBR208C	urea-1-carboxylic acid
YBR213W	H+
YBR213W	NAD
YBR213W	NADH
YBR213W	iron(2+)
YBR213W	precorrin-2
YBR213W	siroheme
YBR213W	sirohydrochlorin
YBR218C	H+
YBR218C	ADP
YBR218C	ATP
YBR218C	phosphate
YBR218C	pyruvate
YBR218C	bicarbonate
YBR218C	oxaloacetate
YBR221C	pyruvate
YBR221C	carbon dioxide
YBR221C	NAD
YBR221C	NADH
YBR221C	acetyl-CoA
YBR221C	coenzyme A
YBR244W	H2O
YBR244W	hydrogen peroxide
YBR244W	glutathione
YBR244W	glutathione disulfide
YBR248C	H+
YBR248C	L-glutamate
YBR248C	L-glutamine
YBR248C	5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
YBR248C	AICAR
YBR248C	D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate
YBR249C	H2O
YBR249C	phosphate
YBR249C	phosphoenolpyruvate
YBR249C	D-erythrose 4-phosphate
YBR249C	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid
YBR252W	H+
YBR252W	H2O
YBR252W	diphosphate
YBR252W	dUMP
YBR252W	dUTP
YBR256C	riboflavin
YBR256C	5-amino-6-(D-ribitylamino)uracil
YBR256C	6,7-dimethyl-8-(1-D-ribityl)lumazine
YBR263W	H2O
YBR263W	5,10-methylenetetrahydrofolate
YBR263W	L-glycine
YBR263W	THF
YBR263W	L-serine
YBR265W	H+
YBR265W	NADP(+)
YBR265W	NADPH
YBR265W	3-ketosphinganine
YBR265W	sphinganine
YBR291C	phosphoenolpyruvate
YBR291C	(S)-malate
YBR291C	citrate
YBR291C	isocitrate
YBR293W	H+
YBR293W	L-histidine
YBR293W	L-tyrosine
YBR293W	L-arginine
YBR293W	L-lysine
YBR294W	sulphate
YBR296C	H+
YBR296C	phosphate
YBR298C	H+
YBR298C	maltose
YBR299W	H2O
YBR299W	maltose
YBR299W	D-glucose
YCL004W	H+
YCL004W	glycerol 3-phosphate
YCL004W	CDP-diacylglycerol (1-16:0, 2-16:1)
YCL004W	CDP-diacylglycerol (1-16:1, 2-16:1)
YCL004W	CDP-diacylglycerol (1-18:0, 2-16:1)
YCL004W	CDP-diacylglycerol (1-18:1, 2-16:1)
YCL004W	CDP-diacylglycerol (1-16:0, 2-18:1)
YCL004W	CDP-diacylglycerol (1-16:1, 2-18:1)
YCL004W	CMP
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-16:1)
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:1, 2-16:1)
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-18:0, 2-16:1)
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-18:1, 2-16:1)
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1)
YCL004W	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:1, 2-18:1)
YCL009C	H+
YCL009C	2-oxobutanoate
YCL009C	pyruvate
YCL009C	carbon dioxide
YCL009C	(S)-2-acetyl-2-hydroxybutanoate
YCL009C	2-acetyllactic acid
YCL018W	H+
YCL018W	NAD
YCL018W	NADH
YCL018W	(2R,3S)-3-isopropylmalate
YCL018W	(2S)-2-isopropyl-3-oxosuccinate
YCL025C	H+
YCL025C	L-cysteine
YCL025C	L-glycine
YCL025C	L-glutamate
YCL025C	L-glutamine
YCL025C	L-isoleucine
YCL025C	L-serine
YCL025C	L-alanine
YCL025C	L-leucine
YCL025C	L-methionine
YCL025C	L-phenylalanine
YCL025C	L-tyrosine
YCL025C	L-valine
YCL025C	L-threonine
YCL025C	L-asparagine
YCL030C	H+
YCL030C	H2O
YCL030C	NAD
YCL030C	NADH
YCL030C	diphosphate
YCL030C	L-histidine
YCL030C	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide
YCL030C	1-(5-phosphoribosyl)-5'-AMP
YCL030C	5-phosphoribosyl-ATP
YCL030C	L-histidinol
YCL035C	H+
YCL035C	H2O
YCL035C	NADP(+)
YCL035C	NADPH
YCL035C	hydrogen peroxide
YCL035C	glutathione
YCL035C	glutathione disulfide
YCL038C	L-isoleucine
YCL038C	L-leucine
YCL038C	L-tyrosine
YCL040W	H+
YCL040W	ADP
YCL040W	ATP
YCL040W	D-glucose 6-phosphate
YCL040W	D-glucose
YCL050C	H+
YCL050C	ADP
YCL050C	phosphate
YCL050C	GTP
YCL050C	GDP
YCL050C	sulphate
YCL050C	5'-adenylyl sulfate
YCL050C	P(1),P(4)-bis(5'-guanosyl) tetraphosphate
YCL050C	P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate
YCL052C	dolichyl D-mannosyl phosphate
YCL052C	dolichyl phosphate
YCL052C	6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol
YCL052C	6-O-[alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol
YCL064C	2-oxobutanoate
YCL064C	ammonium
YCL064C	pyruvate
YCL064C	L-serine
YCL064C	L-threonine
YCL069W	H+
YCL069W	L-histidine
YCL069W	L-lysine
YCR005C	H+
YCR005C	H2O
YCR005C	acetyl-CoA
YCR005C	coenzyme A
YCR005C	oxaloacetate
YCR005C	citrate
YCR010C	acetate
YCR012W	ADP
YCR012W	ATP
YCR012W	1,3-bisphospho-D-glycerate
YCR012W	3-phosphonato-D-glycerate(3-)
YCR024C	ATP
YCR024C	AMP
YCR024C	diphosphate
YCR024C	L-asparagine
YCR024C	Asn-tRNA(Asn)
YCR024C	tRNA(Asn)
YCR024C-A	H+
YCR024C-A	H2O
YCR024C-A	ADP
YCR024C-A	ATP
YCR024C-A	phosphate
YCR028C	H+
YCR028C	(R)-pantothenate
YCR034W	H+
YCR034W	carbon dioxide
YCR034W	coenzyme A
YCR034W	palmitoyl-CoA
YCR034W	UDP-D-glucose
YCR034W	UDP
YCR034W	docosanoyl-CoA
YCR034W	stearoyl-CoA
YCR034W	3-oxooctadecanoyl-CoA
YCR034W	3-oxoicosanoyl-CoA
YCR034W	3-oxodocosanoyl-CoA
YCR034W	3-oxotetracosanoyl-CoA
YCR034W	(1->3)-beta-D-glucan
YCR034W	malonyl-CoA
YCR034W	icosanoyl-CoA
YCR036W	H+
YCR036W	ADP
YCR036W	ATP
YCR036W	ribose-5-phosphate
YCR036W	2-deoxy-D-ribose
YCR036W	2-deoxy-D-ribose 5-phosphate
YCR036W	D-ribose
YCR037C	H+
YCR037C	phosphate
YCR048W	coenzyme A
YCR048W	palmitoyl-CoA
YCR048W	palmitoleoyl-CoA(4-)
YCR048W	stearoyl-CoA
YCR048W	diglyceride (1-16:0, 2-16:1)
