gene	metabolite
Q0045	ferricytochrome c
Q0045	ferrocytochrome c
Q0045	H+
Q0045	H2O
Q0045	oxygen
Q0080	H+
Q0080	H2O
Q0080	ADP
Q0080	ATP
Q0080	phosphate
Q0085	H+
Q0085	H2O
Q0085	ADP
Q0085	ATP
Q0085	phosphate
Q0105	ferricytochrome c
Q0105	ferrocytochrome c
Q0105	H+
Q0105	ubiquinol-6
Q0105	ubiquinone-6
Q0130	H+
Q0130	H2O
Q0130	ADP
Q0130	ATP
Q0130	phosphate
Q0250	ferricytochrome c
Q0250	ferrocytochrome c
Q0250	H+
Q0250	H2O
Q0250	oxygen
Q0275	ferricytochrome c
Q0275	ferrocytochrome c
Q0275	H+
Q0275	H2O
Q0275	oxygen
YAL012W	H+
YAL012W	H2O
YAL012W	2-oxobutanoate
YAL012W	ammonium
YAL012W	L-cystathionine
YAL012W	L-cysteine
YAL012W	O-succinyl-L-homoserine
YAL012W	succinate
YAL022C	H+
YAL022C	adenosine
YAL022C	cytidine
YAL023C	H+
YAL023C	dolichyl D-mannosyl phosphate
YAL023C	dolichyl phosphate
YAL023C	mannan
YAL038W	H+
YAL038W	ADP
YAL038W	ATP
YAL038W	phosphoenolpyruvate
YAL038W	pyruvate
YAL044C	H+
YAL044C	H2O
YAL044C	ammonium
YAL044C	5,10-methenyl-THF
YAL044C	5,10-methylenetetrahydrofolate
YAL044C	5-formyltetrahydrofolic acid
YAL044C	carbon dioxide
YAL044C	dihydrolipoamide
YAL044C	dihydrolipoylprotein
YAL044C	L-glycine
YAL044C	lipoamide
YAL044C	lipoylprotein
YAL044C	NAD
YAL044C	NADH
YAL044C	S(8)-aminomethyldihydrolipoamide
YAL044C	S(8)-aminomethyldihydrolipoylprotein
YAL044C	THF
YAL054C	ATP
YAL054C	acetate
YAL054C	acetyl-CoA
YAL054C	AMP
YAL054C	coenzyme A
YAL054C	diphosphate
YAL060W	H+
YAL060W	NAD
YAL060W	NADH
YAL060W	(R)-acetoin
YAL060W	(R,R)-2,3-butanediol
YAL062W	H+
YAL062W	H2O
YAL062W	ammonium
YAL062W	2-oxoglutarate
YAL062W	L-glutamate
YAL062W	NADP(+)
YAL062W	NADPH
YAR015W	H+
YAR015W	ADP
YAR015W	ATP
YAR015W	phosphate
YAR015W	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole
YAR015W	L-aspartate
YAR015W	phosphoribosyl-carboxy-aminoimidazole
YAR035W	acetyl-CoA
YAR035W	coenzyme A
YAR035W	(R)-carnitine
YAR035W	O-acetylcarnitine
YAR071W	H2O
YAR071W	phosphate
YAR071W	FMN
YAR071W	riboflavin
YBL011W	coenzyme A
YBL011W	palmitoyl-CoA
YBL011W	palmitoleoyl-CoA(4-)
YBL011W	glycerol 3-phosphate
YBL011W	1-acyl-sn-glycerol 3-phosphate (16:0)
YBL011W	1-acyl-sn-glycerol 3-phosphate (16:1)
YBL011W	dihydroxyacetone phosphate
YBL011W	acylglycerone phosphate (16:0)
YBL011W	acylglycerone phosphate (16:1)
YBL013W	H+
YBL013W	THF
YBL013W	10-formyl-THF
YBL013W	fMet-tRNA(fMet)
YBL013W	Met-tRNA(Met)
YBL015W	H+
YBL015W	H2O
YBL015W	succinate
YBL015W	acetate
YBL015W	acetyl-CoA
YBL015W	coenzyme A
YBL015W	succinyl-CoA
YBL030C	ADP
YBL030C	ATP
YBL033C	H+
YBL033C	H2O
YBL033C	diphosphate
YBL033C	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine
YBL033C	formate
YBL033C	GTP
YBL039C	H+
YBL039C	H2O
YBL039C	ADP
YBL039C	ATP
YBL039C	phosphate
YBL039C	ammonium
YBL039C	L-glutamate
YBL039C	CTP
YBL039C	L-glutamine
YBL039C	UTP
YBL042C	H+
YBL042C	uridine
YBL045C	ferricytochrome c
YBL045C	ferrocytochrome c
YBL045C	H+
YBL045C	ubiquinol-6
YBL045C	ubiquinone-6
YBL064C	H2O
YBL064C	hydrogen peroxide
YBL064C	TRX1
YBL064C	TRX1 disulphide
YBL068W	H+
YBL068W	ATP
YBL068W	AMP
YBL068W	PRPP
YBL068W	ribose-5-phosphate
YBL076C	ATP
YBL076C	AMP
YBL076C	diphosphate
YBL076C	Ile-tRNA(Ile)
YBL076C	L-isoleucine
YBL076C	tRNA(Ile)
YBL098W	H+
YBL098W	H2O
YBL098W	oxygen
YBL098W	NADP(+)
YBL098W	NADPH
YBL098W	3-hydroxy-L-kynurenine
YBL098W	L-kynurenine
YBL099W	H+
YBL099W	H2O
YBL099W	ADP
YBL099W	ATP
YBL099W	phosphate
YBR002C	diphosphate
YBR002C	decaprenyl diphosphate
YBR002C	docosaprenyl diphosphate
YBR002C	dodecaprenyl diphosphate
YBR002C	farnesyl diphosphate
YBR002C	geranylgeranyl diphosphate
YBR002C	henicosaprenyl diphosphate
YBR002C	heptadecaprenyl diphosphate
YBR002C	heptaprenyl diphosphate
YBR002C	hexadecaprenyl diphosphate
YBR002C	hexaprenyl diphosphate
YBR002C	icosaprenyl diphosphate
YBR002C	isopentenyl diphosphate
YBR002C	nonadecaprenyl diphosphate
YBR002C	nonaprenyl diphosphate
YBR002C	octadecaprenyl diphosphate
YBR002C	octaprenyl diphosphate
YBR002C	pentadecaprenyl diphosphate
YBR002C	pentaprenyl diphosphate
YBR002C	tetradecaprenyl diphosphate
YBR002C	tridecaprenyl diphosphate
YBR002C	undecaprenyl diphosphate
YBR003W	diphosphate
YBR003W	hexaprenyl diphosphate
YBR003W	isopentenyl diphosphate
YBR003W	pentaprenyl diphosphate
YBR004C	dolichyl D-mannosyl phosphate
YBR004C	dolichyl phosphate
YBR004C	6-O-{2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
YBR004C	6-O-{alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
YBR006W	H+
YBR006W	H2O
YBR006W	succinate
YBR006W	NADP(+)
YBR006W	NADPH
YBR006W	succinic semialdehyde
YBR011C	H+
YBR011C	H2O
YBR011C	phosphate
YBR011C	diphosphate
YBR018C	H+
YBR018C	diphosphate
YBR018C	UTP
YBR018C	alpha-D-galactose 1-phosphate
YBR018C	D-glucose 1-phosphate
YBR018C	UDP-D-galactose
YBR018C	UDP-D-glucose
YBR019C	UDP-D-galactose
YBR019C	UDP-D-glucose
YBR020W	H+
YBR020W	ADP
YBR020W	ATP
YBR020W	alpha-D-galactose 1-phosphate
YBR020W	D-galactose
YBR021W	H+
YBR021W	uracil
YBR023C	H+
YBR023C	chitin
YBR023C	UDP
YBR023C	UDP-N-acetyl-alpha-D-glucosamine
YBR026C	H+
YBR026C	NADP(+)
YBR026C	NADPH
YBR026C	octanoyl-ACP
YBR026C	butanoyl-ACP
YBR026C	hexanoyl-ACP
YBR026C	trans-but-2-enoyl-ACP
YBR026C	trans-hex-2-enoyl-ACP
YBR026C	trans-oct-2-enoyl-ACP
YBR029C	H+
YBR029C	diphosphate
YBR029C	CTP
YBR029C	phosphatidate (1-16:0, 2-16:1)
YBR029C	phosphatidate (1-16:0, 2-18:1)
YBR029C	phosphatidate (1-16:1, 2-16:1)
YBR029C	phosphatidate (1-16:1, 2-18:1)
YBR029C	phosphatidate (1-18:0, 2-16:1)
YBR029C	phosphatidate (1-18:0, 2-18:1)
YBR029C	phosphatidate (1-18:1, 2-16:1)
YBR029C	phosphatidate (1-18:1, 2-18:1)
YBR029C	CDP-diacylglycerol (1-16:0, 2-16:1)
YBR029C	CDP-diacylglycerol (1-16:1, 2-16:1)
YBR029C	CDP-diacylglycerol (1-18:0, 2-16:1)
YBR029C	CDP-diacylglycerol (1-18:1, 2-16:1)
YBR029C	CDP-diacylglycerol (1-16:0, 2-18:1)
YBR029C	CDP-diacylglycerol (1-16:1, 2-18:1)
YBR029C	CDP-diacylglycerol (1-18:0, 2-18:1)
YBR029C	CDP-diacylglycerol (1-18:1, 2-18:1)
YBR034C	H+
YBR034C	L-histidine
YBR034C	N(pros)-methyl-L-histidine
YBR034C	S-adenosyl-L-homocysteine
YBR034C	S-adenosyl-L-methionine
YBR035C	H2O
YBR035C	oxygen
YBR035C	ammonium
YBR035C	hydrogen peroxide
YBR035C	pyridoxal
YBR035C	pyridoxal 5'-phosphate
YBR035C	pyridoxamine
YBR035C	pyridoxamine 5'-phosphate
YBR035C	pyridoxine
YBR035C	pyridoxine 5'-phosphate
YBR036C	GDP
YBR036C	GDP-alpha-D-mannose
YBR036C	inositol-P-ceramide A (C24)
YBR036C	inositol-P-ceramide A (C26)
YBR036C	inositol-P-ceramide B (C24)
YBR036C	inositol-P-ceramide B (C26)
YBR036C	inositol-P-ceramide B' (C24)
YBR036C	inositol-P-ceramide B' (C26)
YBR036C	inositol-P-ceramide C (C24)
YBR036C	inositol-P-ceramide C (C26)
YBR036C	inositol-P-ceramide D (C24)
YBR036C	inositol-P-ceramide D (C26)
YBR036C	mannosylinositol phosphorylceramide A (C24)
YBR036C	mannosylinositol phosphorylceramide A (C26)
