Condition	Ptot	grRate	xylose (r_1718)	acetate (r_1634)	glucose (r_1714)	CO2 (r_1672)	oxygen (r_1992)	citrate(3-) (r_1687)	glycerol (r_1808)	xylitol (r_2104)	D-arabinitol (r_4340)	ammonium (r_1654)	urea (r_2091)
Xexp	0.4385	0.054	-1.86	0	0	2.845	-2.678	0	0	0.223	0.367	-1000	0
Xnlim	0.197	0.019	-0.4345	0	0	1.277	-1.028	0	0	0.004	0.077	-1000	0
Aexp	0.386	0.073	0	-6.1	0	5.22	-7.14	0.122	0	0	0	-1000	0
Anlim	0.217	0.012	0	-1.9706	0	2.23	-2.26	-0.043	0	0	0	-1000	0
GexpUrea	0.636	0.18	0	0	-2.489	7.3	-5.6	0	0.049	0	0	0	-1000
GNlimUrea	0.227	0.021	0	0	-0.41	1.44	-1.16	0	-0.007	0	0	0	-1000
