uniprot	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7WIJ4	1.76E-05	1.72E-05	6.63E-06	5.31E-06	1.62E-05	1.78E-05	9.66E-06	8.41E-06	2.92E-05	2.86E-05	9.00E-06	7.28E-06
M7WXX4	3.27E-05	3.38E-05	1.42E-05	1.51E-05	3.55E-05	4.36E-05	3.28E-05	2.85E-05	3.86E-05	3.68E-05	1.43E-05	1.11E-05
M7WKL7	1.39E-05	1.34E-05	5.18E-06	4.93E-06	6.22E-05	7.61E-05	2.23E-05	2.07E-05	4.17E-06	3.89E-06	3.21E-06	2.92E-06
M7XJ40	3.83E-06	4.45E-06	1.20E-06	1.15E-06	1.98E-05	2.10E-05	1.71E-05	1.23E-05	1.54E-05	1.45E-05	3.43E-06	3.21E-06
M7X8C7	0.000115934	0.000137994	5.35E-05	4.90E-05	1.88E-05	2.08E-05	1.50E-05	1.26E-05	2.23E-05	2.30E-05	1.39E-05	1.18E-05
M7XN51	1.96E-05	1.90E-05	1.19E-05	1.22E-05	4.52E-05	6.29E-05	2.41E-05	2.14E-05	5.59E-06	7.01E-06	1.11E-05	8.20E-06
M7XAS2	5.23E-05	5.38E-05	2.64E-05	2.43E-05	4.34E-05	4.30E-05	2.09E-05	1.83E-05	7.73E-05	7.63E-05	3.24E-05	2.59E-05
M7X113	5.26E-05	5.43E-05	2.61E-05	2.40E-05	5.19E-05	5.08E-05	2.44E-05	2.21E-05	9.75E-05	9.41E-05	3.76E-05	2.85E-05
M7WYP6	2.47E-05	3.04E-05	2.76E-05	2.65E-05	2.83E-05	3.37E-05	2.24E-05	2.15E-05	4.93E-05	4.54E-05	3.76E-05	3.05E-05
M7WVL3	3.66E-05	3.39E-05	1.11E-05	9.75E-06	3.20E-05	2.96E-05	1.37E-05	1.13E-05	5.92E-05	5.56E-05	2.05E-05	1.66E-05
M7X0F2	3.17E-05	3.10E-05	9.47E-06	8.66E-06	2.73E-05	2.66E-05	1.23E-05	1.03E-05	5.36E-05	5.56E-05	1.28E-05	1.05E-05
M7X2B5	1.36E-05	1.62E-05	7.21E-06	7.31E-06	1.37E-05	1.77E-05	1.03E-05	8.89E-06	5.00E-05	4.46E-05	1.23E-05	1.08E-05
M7X6Q6	2.84E-05	2.85E-05	1.04E-05	9.68E-06	3.35E-05	4.03E-05	3.77E-05	2.95E-05	3.16E-05	3.25E-05	1.18E-05	9.34E-06
M7WT03	4.75E-05	4.59E-05	1.40E-05	1.33E-05	4.17E-05	3.91E-05	1.96E-05	1.63E-05	7.59E-05	7.77E-05	1.75E-05	1.42E-05
M7X8D2	3.80E-05	3.95E-05	1.03E-05	1.02E-05	3.03E-05	2.86E-05	1.39E-05	1.12E-05	5.47E-05	5.51E-05	1.41E-05	1.13E-05
M7WJP1	3.67E-05	3.58E-05	1.03E-05	9.58E-06	3.12E-05	3.06E-05	1.51E-05	1.19E-05	6.12E-05	5.78E-05	1.37E-05	1.03E-05
M7WPZ9	5.05E-05	5.22E-05	1.63E-05	1.49E-05	4.05E-05	4.15E-05	1.98E-05	1.78E-05	8.05E-05	7.83E-05	2.85E-05	2.43E-05
M7WLM0	3.36E-05	3.62E-05	9.74E-06	8.87E-06	2.64E-05	2.66E-05	1.24E-05	1.00E-05	5.44E-05	4.89E-05	1.22E-05	9.42E-06
M7WRD8	3.07E-05	2.22E-05	1.65E-05	1.44E-05	2.75E-05	2.79E-05	1.33E-05	1.12E-05	4.44E-05	4.75E-05	1.19E-05	9.29E-06
M7X0R7	2.83E-05	3.26E-05	2.13E-05	1.99E-05	1.62E-05	1.86E-05	1.50E-05	1.41E-05	3.03E-05	2.74E-05	2.12E-05	1.70E-05
M7X3Q5	1.09E-05	9.19E-06	4.35E-06	4.16E-06	9.15E-06	8.40E-06	4.43E-06	3.55E-06	1.96E-05	1.90E-05	2.84E-06	2.28E-06
M7XLZ6	2.77E-05	2.84E-05	7.11E-06	6.66E-06	2.10E-05	2.04E-05	9.42E-06	8.10E-06	4.15E-05	3.92E-05	1.37E-05	1.10E-05
M7XKK7	3.44E-05	3.83E-05	2.02E-05	1.90E-05	2.85E-05	3.24E-05	1.51E-05	1.33E-05	5.52E-05	5.19E-05	2.29E-05	1.80E-05
M7XJG9	3.31E-05	3.50E-05	1.46E-05	1.41E-05	3.26E-05	3.64E-05	2.89E-05	2.79E-05	3.33E-05	3.18E-05	1.32E-05	1.12E-05
M7X5L6	3.15E-05	3.41E-05	8.49E-06	7.82E-06	2.65E-05	2.49E-05	1.17E-05	9.36E-06	4.92E-05	4.66E-05	1.52E-05	1.11E-05
M7WMJ7	4.84E-06	6.37E-06	9.44E-06	8.61E-06	2.59E-05	2.80E-05	2.53E-05	2.67E-05	1.90E-05	1.56E-05	1.32E-05	1.40E-05
M7WLD5	5.49E-07	5.22E-07	1.75E-07	1.36E-07	1.07E-05	1.28E-05	5.93E-06	5.57E-06	3.37E-07	3.67E-07	2.13E-07	2.09E-07
M7WYV8	3.24E-05	3.41E-05	1.55E-05	1.50E-05	3.05E-05	2.98E-05	1.46E-05	1.24E-05	5.40E-05	5.98E-05	2.29E-05	1.88E-05
M7X5F4	1.27E-05	1.64E-05	8.98E-06	8.83E-06	2.30E-05	2.85E-05	1.59E-05	1.33E-05	2.37E-05	2.22E-05	1.20E-05	9.27E-06
M7WXT3	4.06E-05	4.57E-05	1.20E-05	1.18E-05	3.52E-05	3.61E-05	1.64E-05	1.57E-05	6.72E-05	6.21E-05	2.51E-05	1.94E-05
M7XE86	4.13E-05	4.41E-05	1.15E-05	1.02E-05	3.36E-05	3.37E-05	1.64E-05	1.54E-05	5.45E-05	5.31E-05	1.84E-05	1.39E-05
M7XZ23	5.95E-05	6.90E-05	3.26E-05	2.80E-05	4.74E-05	4.92E-05	3.18E-05	2.63E-05	6.70E-05	5.83E-05	3.39E-05	2.91E-05
M7WW95	4.86E-06	5.36E-06	2.44E-06	2.10E-06	3.32E-05	4.07E-05	2.70E-05	2.48E-05	5.74E-06	5.56E-06	2.29E-06	1.92E-06
M7WMR9	1.69E-06	1.68E-06	1.10E-06	9.67E-07	2.21E-05	2.63E-05	1.42E-05	1.23E-05	1.61E-06	1.55E-06	1.42E-06	1.13E-06
M7X9F4	2.28E-05	1.90E-05	1.28E-05	1.39E-05	1.52E-05	1.77E-05	1.57E-05	1.40E-05	2.82E-05	2.48E-05	1.62E-05	1.29E-05
M7X689	8.08E-06	9.66E-06	6.68E-06	5.79E-06	1.36E-05	1.49E-05	8.77E-06	7.66E-06	1.91E-05	1.85E-05	8.84E-06	7.48E-06
M7X2U9	2.80E-05	3.55E-05	4.57E-05	4.28E-05	1.01E-05	1.30E-05	1.37E-05	1.51E-05	3.57E-05	3.81E-05	3.30E-05	2.94E-05
M7XDT3	3.47E-05	3.75E-05	1.61E-05	1.43E-05	3.73E-05	3.43E-05	1.57E-05	1.46E-05	7.04E-05	7.46E-05	2.65E-05	2.13E-05
M7X5D5	3.86E-05	4.10E-05	1.38E-05	1.29E-05	3.89E-05	3.78E-05	1.86E-05	1.64E-05	7.88E-05	7.65E-05	2.65E-05	2.12E-05
M7WTR2	3.59E-05	3.91E-05	1.90E-05	1.72E-05	3.07E-05	3.04E-05	1.49E-05	1.39E-05	5.72E-05	5.72E-05	2.08E-05	1.87E-05
M7XKU4	4.70E-05	4.92E-05	1.93E-05	1.94E-05	3.93E-05	4.02E-05	1.96E-05	1.71E-05	7.76E-05	7.77E-05	2.90E-05	2.40E-05
M7WPY7	2.64E-05	2.47E-05	6.82E-05	6.86E-05	7.64E-05	8.90E-05	6.92E-05	7.23E-05	5.47E-05	5.50E-05	7.56E-05	6.06E-05
M7XU45	4.02E-05	3.86E-05	1.77E-05	1.66E-05	3.23E-05	3.18E-05	1.46E-05	1.37E-05	6.08E-05	5.55E-05	2.36E-05	1.84E-05
M7XMR9	1.11E-05	1.12E-05	4.35E-06	3.92E-06	8.11E-06	8.96E-06	5.38E-06	4.93E-06	1.65E-05	1.69E-05	4.67E-06	3.95E-06
M7X3D9	3.23E-05	3.60E-05	9.40E-06	1.03E-05	3.26E-05	3.22E-05	1.78E-05	1.39E-05	5.56E-05	5.49E-05	1.34E-05	9.78E-06
M7WYS8	3.04E-05	3.09E-05	1.11E-05	1.00E-05	2.65E-05	2.61E-05	1.21E-05	1.04E-05	5.01E-05	4.75E-05	1.85E-05	1.50E-05
M7X6H4	1.36E-05	1.50E-05	4.45E-06	4.27E-06	1.02E-05	1.12E-05	8.12E-06	7.01E-06	1.81E-05	1.70E-05	5.71E-06	4.94E-06
M7XAY4	3.33E-05	3.61E-05	8.51E-06	8.34E-06	2.66E-05	2.51E-05	1.20E-05	1.08E-05	5.27E-05	5.70E-05	1.47E-05	1.08E-05
M7WQ86	7.14E-06	6.99E-06	4.02E-06	3.98E-06	1.96E-05	2.42E-05	1.43E-05	1.23E-05	1.00E-05	9.76E-06	6.35E-06	5.21E-06
M7XQ75	2.83E-05	2.63E-05	1.01E-05	1.02E-05	2.26E-05	2.21E-05	1.00E-05	8.82E-06	4.19E-05	4.05E-05	1.73E-05	1.39E-05
M7WZP5	1.56E-05	1.69E-05	6.74E-06	6.42E-06	1.41E-05	1.64E-05	1.30E-05	1.15E-05	1.58E-05	1.49E-05	6.43E-06	5.36E-06
M7X2E5	3.14E-05	3.17E-05	1.15E-05	1.10E-05	2.92E-05	2.74E-05	1.34E-05	1.19E-05	5.43E-05	5.32E-05	2.12E-05	1.66E-05
M7WM05	2.57E-05	2.60E-05	7.40E-06	6.81E-06	2.03E-05	1.98E-05	1.04E-05	8.73E-06	3.97E-05	4.43E-05	1.39E-05	1.11E-05
M7WNZ9	1.28E-05	1.55E-05	8.17E-06	7.89E-06	9.15E-06	1.08E-05	8.70E-06	6.99E-06	1.29E-05	1.16E-05	7.43E-06	6.17E-06
M7X1K0	3.02E-05	3.05E-05	1.21E-05	1.13E-05	2.84E-05	2.63E-05	1.33E-05	1.11E-05	5.14E-05	4.85E-05	1.89E-05	1.49E-05
M7WNW6	2.34E-05	2.47E-05	5.85E-06	5.48E-06	2.01E-05	1.87E-05	8.61E-06	7.07E-06	3.81E-05	3.81E-05	9.78E-06	7.66E-06
M7XFU8	3.41E-05	2.68E-05	1.40E-05	1.39E-05	2.77E-05	3.18E-05	2.73E-05	2.67E-05	3.19E-05	3.17E-05	1.06E-05	9.23E-06
M7XGB9	3.55E-05	3.68E-05	1.48E-05	1.40E-05	3.51E-05	3.45E-05	1.81E-05	1.61E-05	5.66E-05	5.17E-05	2.60E-05	1.89E-05
M7X5J4	2.22E-05	2.37E-05	7.26E-06	6.54E-06	2.04E-05	1.95E-05	8.65E-06	7.54E-06	4.04E-05	4.04E-05	1.15E-05	9.47E-06
M7WUU3	2.00E-05	1.99E-05	4.34E-06	4.09E-06	1.96E-05	2.25E-05	1.02E-05	8.30E-06	3.92E-05	3.88E-05	6.35E-06	4.95E-06
M7X0J3	2.25E-05	2.35E-05	1.21E-05	1.16E-05	1.47E-05	1.58E-05	1.18E-05	1.04E-05	2.85E-05	2.75E-05	1.37E-05	1.25E-05
M7X2T0	2.39E-05	2.50E-05	1.15E-05	1.12E-05	1.91E-05	1.82E-05	8.92E-06	8.13E-06	4.23E-05	4.04E-05	1.49E-05	1.15E-05
M7XBX1	2.29E-05	2.20E-05	1.28E-05	1.57E-05	1.87E-05	1.79E-05	1.06E-05	9.64E-06	3.75E-05	3.92E-05	1.82E-05	1.58E-05
M7X6Q2	3.73E-05	3.80E-05	1.89E-05	1.91E-05	3.18E-05	3.16E-05	1.46E-05	1.29E-05	6.37E-05	6.27E-05	2.52E-05	2.02E-05
M7XZM3	1.93E-05	2.19E-05	1.16E-05	1.08E-05	3.11E-05	3.68E-05	2.71E-05	2.49E-05	2.89E-05	2.81E-05	1.80E-05	1.46E-05
M7XRQ3	4.81E-06	3.75E-06	5.47E-06	4.82E-06	1.03E-05	1.12E-05	8.00E-06	7.59E-06	1.81E-05	1.63E-05	1.00E-05	8.71E-06
M7X2K5	1.95E-05	2.03E-05	6.13E-06	6.02E-06	1.89E-05	1.89E-05	9.01E-06	7.95E-06	3.48E-05	3.73E-05	1.31E-05	1.12E-05
M7XFR0	1.98E-06	2.16E-06	1.32E-06	1.20E-06	1.97E-05	2.15E-05	1.08E-05	8.89E-06	1.55E-06	1.52E-06	1.51E-06	1.13E-06
M7XJ98	1.56E-05	1.13E-05	1.06E-05	8.34E-06	1.58E-05	2.00E-05	1.66E-05	1.64E-05	1.66E-05	1.54E-05	9.44E-06	8.53E-06
M7XVW7	1.12E-05	1.15E-05	3.71E-06	3.47E-06	1.53E-05	1.70E-05	1.01E-05	8.82E-06	2.40E-05	2.31E-05	3.98E-06	3.43E-06
M7XJ56	2.86E-05	3.33E-05	9.69E-06	8.21E-06	2.62E-05	2.49E-05	1.19E-05	1.09E-05	4.16E-05	3.93E-05	1.57E-05	1.33E-05
M7WNA8	1.94E-05	1.91E-05	6.57E-06	6.76E-06	1.78E-05	1.84E-05	8.13E-06	7.69E-06	3.64E-05	3.60E-05	1.26E-05	1.05E-05
M7WPC7	2.24E-05	2.19E-05	5.25E-06	5.09E-06	1.66E-05	1.51E-05	7.15E-06	5.69E-06	3.16E-05	3.27E-05	7.36E-06	6.07E-06
M7WIG9	8.36E-06	8.83E-06	5.65E-06	5.72E-06	5.49E-06	5.89E-06	5.00E-06	4.57E-06	1.41E-05	1.35E-05	7.02E-06	6.12E-06
M7WR40	5.92E-06	6.57E-06	3.44E-06	3.55E-06	7.50E-06	9.28E-06	6.62E-06	5.75E-06	8.76E-06	8.62E-06	4.65E-06	4.06E-06
M7WR16	3.42E-05	3.31E-05	8.84E-06	8.57E-06	2.37E-05	2.24E-05	1.11E-05	8.73E-06	4.79E-05	4.96E-05	1.13E-05	8.83E-06
M7X2P0	4.43E-06	4.64E-06	3.13E-06	3.08E-06	8.51E-06	1.09E-05	9.20E-06	8.59E-06	3.27E-06	3.25E-06	5.67E-06	3.98E-06
M7WXT8	2.16E-05	2.19E-05	9.76E-06	9.73E-06	1.76E-05	1.70E-05	8.35E-06	7.21E-06	3.38E-05	3.33E-05	1.26E-05	1.07E-05
M7WR01	9.77E-06	1.01E-05	5.57E-06	5.10E-06	3.88E-06	4.63E-06	3.73E-06	3.42E-06	8.24E-06	7.94E-06	4.74E-06	3.90E-06
M7XFJ5	4.64E-06	8.00E-06	5.06E-05	8.03E-05	2.18E-05	2.21E-05	1.60E-05	1.81E-05	1.19E-05	4.23E-05	6.59E-05	4.63E-05
M7XXD2	2.04E-05	1.91E-05	9.37E-06	8.43E-06	1.50E-05	1.46E-05	6.67E-06	6.82E-06	3.23E-05	3.29E-05	1.11E-05	9.28E-06
M7XSC4	1.39E-07	1.80E-07	6.31E-08	5.26E-08	3.74E-06	4.58E-06	2.00E-06	1.73E-06	5.32E-07	5.13E-07	2.44E-07	1.92E-07
M7XM89	7.04E-07	8.96E-07	1.05E-06	1.03E-06	3.66E-07	4.16E-07	5.24E-07	5.52E-07	7.18E-07	7.06E-07	9.48E-07	7.47E-07
M7WMX7	1.11E-05	8.70E-06	6.29E-06	5.72E-06	1.36E-05	1.57E-05	1.27E-05	1.24E-05	1.27E-05	1.38E-05	8.59E-06	7.23E-06
M7XA66	2.44E-05	2.95E-05	9.83E-06	1.07E-05	2.47E-05	2.30E-05	1.16E-05	9.90E-06	4.65E-05	3.84E-05	1.73E-05	1.50E-05
M7WP66	2.80E-05	2.09E-05	2.94E-05	2.78E-05	8.43E-06	9.37E-06	1.07E-05	9.98E-06	2.91E-05	2.63E-05	3.02E-05	2.22E-05
M7WTN9	3.45E-05	4.15E-05	1.86E-05	1.71E-05	2.75E-06	3.76E-06	3.55E-06	3.35E-06	1.22E-06	1.10E-06	2.56E-06	1.97E-06
M7WZ44	1.03E-05	8.74E-06	3.52E-06	3.18E-06	1.46E-05	1.47E-05	6.55E-06	5.71E-06	3.13E-05	3.17E-05	5.85E-06	4.67E-06
M7XI84	9.60E-06	1.18E-05	3.96E-06	4.13E-06	1.01E-05	1.24E-05	1.05E-05	9.37E-06	1.13E-05	1.04E-05	4.38E-06	3.58E-06
M7X852	9.25E-06	8.31E-06	3.92E-06	3.71E-06	1.12E-05	1.24E-05	6.57E-06	5.80E-06	1.64E-05	1.67E-05	4.35E-06	3.93E-06
M7XE28	6.50E-06	5.37E-06	2.76E-06	2.60E-06	1.41E-05	1.55E-05	1.26E-05	1.17E-05	1.04E-05	1.01E-05	3.09E-06	2.49E-06
M7X3J1	6.84E-06	6.13E-06	2.24E-06	2.00E-06	6.61E-06	7.34E-06	3.75E-06	3.25E-06	3.76E-06	3.66E-06	2.93E-06	2.44E-06
M7XRX0	1.68E-05	1.38E-05	1.21E-05	1.09E-05	1.95E-05	1.84E-05	1.02E-05	9.15E-06	3.85E-05	3.35E-05	1.33E-05	1.14E-05
M7WME7	6.85E-06	5.39E-06	6.52E-06	6.93E-06	9.97E-06	1.13E-05	7.91E-06	7.60E-06	1.82E-05	1.76E-05	1.04E-05	9.11E-06
M7WH92	1.48E-05	1.50E-05	3.90E-06	3.66E-06	1.14E-05	1.13E-05	5.28E-06	4.72E-06	2.28E-05	2.17E-05	6.98E-06	5.69E-06
M7X560	3.33E-06	4.02E-06	1.66E-06	1.69E-06	8.77E-06	1.17E-05	9.97E-06	8.02E-06	5.22E-06	4.98E-06	2.69E-06	2.20E-06
M7WHD4	7.26E-06	1.22E-05	3.44E-06	3.36E-06	8.12E-06	8.21E-06	4.60E-06	4.03E-06	1.14E-05	1.02E-05	3.49E-06	2.74E-06
M7XMJ4	1.19E-05	1.34E-05	8.37E-06	7.95E-06	1.40E-05	1.66E-05	1.65E-05	1.67E-05	1.44E-05	1.35E-05	1.11E-05	9.26E-06
M7WU42	9.88E-06	9.54E-06	3.35E-06	3.13E-06	4.33E-06	5.87E-06	5.73E-06	4.76E-06	6.20E-06	6.61E-06	3.34E-06	2.32E-06
M7XEU6	5.41E-06	6.05E-06	2.64E-06	2.31E-06	2.46E-05	2.81E-05	1.89E-05	1.42E-05	1.20E-05	1.09E-05	3.79E-06	3.44E-06
M7WN97	2.17E-06	1.91E-06	1.13E-06	1.11E-06	9.31E-06	1.04E-05	6.93E-06	6.05E-06	7.05E-06	6.18E-06	1.49E-06	1.32E-06
M7XRJ6	8.78E-06	8.63E-06	6.06E-06	5.80E-06	5.94E-06	6.92E-06	5.33E-06	5.38E-06	1.27E-05	1.12E-05	6.75E-06	6.05E-06
M7XIE1	2.83E-05	3.00E-05	1.41E-05	1.34E-05	2.34E-05	2.26E-05	1.07E-05	9.32E-06	4.43E-05	4.22E-05	1.82E-05	1.44E-05
M7WN01	4.19E-06	3.84E-06	1.48E-06	1.43E-06	1.10E-05	1.14E-05	8.83E-06	6.68E-06	1.03E-05	9.92E-06	3.03E-06	2.81E-06
M7WGA7	4.44E-06	5.17E-06	3.68E-06	3.77E-06	3.44E-06	4.63E-06	4.23E-06	4.09E-06	5.17E-06	5.58E-06	6.10E-06	4.43E-06
M7XQ01	3.12E-06	3.60E-06	1.56E-06	1.57E-06	1.08E-05	1.15E-05	6.94E-06	6.44E-06	1.05E-05	1.02E-05	2.78E-06	2.45E-06
M7WRF4	3.42E-05	3.68E-05	1.93E-05	1.78E-05	2.98E-05	2.57E-05	1.45E-05	1.22E-05	4.81E-05	4.97E-05	2.10E-05	1.87E-05
M7X3I2	1.69E-05	1.80E-05	4.11E-06	4.09E-06	1.31E-05	1.29E-05	6.70E-06	5.71E-06	2.43E-05	2.54E-05	7.28E-06	6.26E-06
M7X6E8	2.78E-05	2.82E-05	9.60E-06	8.81E-06	2.66E-05	2.71E-05	1.35E-05	1.10E-05	5.03E-05	5.12E-05	1.67E-05	1.43E-05
M7X3N3	1.49E-05	1.38E-05	3.74E-06	3.30E-06	1.17E-05	1.19E-05	4.92E-06	4.17E-06	2.52E-05	2.42E-05	6.77E-06	5.47E-06
M7XJM1	4.78E-07	3.52E-07	1.79E-07	1.58E-07	3.56E-06	4.45E-06	2.91E-06	2.64E-06	3.98E-07	4.08E-07	2.00E-07	1.89E-07
M7XQH9	1.69E-06	1.63E-06	1.94E-06	2.00E-06	6.95E-06	7.81E-06	4.93E-06	5.60E-06	1.28E-06	1.40E-06	2.34E-06	1.86E-06
M7WK47	4.05E-05	3.77E-05	2.26E-05	2.19E-05	3.77E-05	3.72E-05	1.90E-05	1.45E-05	7.33E-05	7.37E-05	2.84E-05	1.96E-05
M7WUD3	1.33E-05	1.29E-05	3.09E-06	2.87E-06	4.75E-06	5.50E-06	2.92E-06	2.78E-06	4.08E-06	3.97E-06	4.54E-06	3.59E-06
M7XN95	5.22E-06	5.42E-06	4.58E-06	4.23E-06	1.08E-05	1.31E-05	1.03E-05	8.98E-06	9.74E-06	9.42E-06	4.45E-06	4.02E-06
M7WS17	1.79E-06	1.96E-06	2.01E-06	2.08E-06	1.71E-06	2.14E-06	2.09E-06	2.02E-06	6.18E-06	6.22E-06	3.06E-06	2.49E-06
M7XK72	2.25E-05	2.15E-05	8.91E-06	7.81E-06	2.18E-05	2.04E-05	1.06E-05	9.12E-06	4.03E-05	3.96E-05	1.43E-05	1.23E-05
M7XB33	1.70E-05	1.71E-05	3.66E-06	3.69E-06	1.28E-05	1.23E-05	6.00E-06	5.31E-06	2.04E-05	2.78E-05	5.37E-06	4.57E-06
M7WV44	1.71E-05	1.76E-05	8.04E-06	7.11E-06	1.59E-05	1.59E-05	7.48E-06	6.85E-06	2.77E-05	3.33E-05	1.10E-05	8.69E-06
M7X0X5	1.60E-05	1.82E-05	1.13E-05	1.17E-05	5.92E-06	7.19E-06	7.02E-06	6.17E-06	1.33E-05	1.19E-05	1.17E-05	8.98E-06
M7XGI7	1.75E-06	1.90E-06	6.54E-07	6.84E-07	5.79E-06	7.00E-06	4.00E-06	3.52E-06	3.45E-06	3.64E-06	1.09E-06	8.89E-07
M7WU96	4.40E-05	4.70E-05	1.49E-05	1.23E-05	4.22E-05	4.03E-05	2.15E-05	2.35E-05	7.75E-05	7.14E-05	1.53E-05	1.23E-05
M7XRG0	3.87E-05	4.01E-05	1.80E-05	2.05E-05	3.26E-05	3.15E-05	1.51E-05	1.53E-05	6.34E-05	6.04E-05	2.78E-05	2.28E-05
M7XLR4	4.09E-07	4.38E-07	8.20E-07	8.48E-07	3.89E-07	4.46E-07	5.57E-07	5.63E-07	8.47E-07	8.17E-07	8.85E-07	7.45E-07
M7WMY0	6.31E-06	7.34E-06	3.82E-06	3.69E-06	4.61E-06	5.36E-06	4.57E-06	4.64E-06	1.08E-05	1.05E-05	4.79E-06	3.66E-06
M7WY54	1.47E-06	2.59E-06	3.01E-06	3.04E-06	4.79E-06	5.41E-06	3.79E-06	3.65E-06	2.34E-06	2.27E-06	4.09E-06	3.23E-06
M7XGU7	8.06E-06	8.56E-06	2.79E-06	2.50E-06	5.51E-06	5.61E-06	2.93E-06	2.58E-06	9.06E-06	9.20E-06	2.49E-06	2.17E-06
M7WQF1	7.25E-07	8.17E-07	2.92E-07	2.67E-07	3.76E-06	4.76E-06	3.10E-06	2.90E-06	7.27E-07	6.73E-07	3.01E-07	2.72E-07
M7X2W2	4.59E-06	4.31E-06	2.21E-06	2.08E-06	2.43E-06	2.69E-06	2.06E-06	2.00E-06	5.19E-06	5.42E-06	2.47E-06	2.11E-06
M7XB76	1.74E-05	1.78E-05	6.08E-06	5.85E-06	1.74E-05	1.56E-05	7.70E-06	6.61E-06	3.60E-05	3.20E-05	1.27E-05	9.50E-06
M7WNY9	1.30E-05	1.19E-05	4.74E-06	4.43E-06	1.07E-05	1.05E-05	4.70E-06	4.43E-06	2.14E-05	2.20E-05	7.89E-06	5.67E-06
M7WZN9	4.87E-06	4.61E-06	3.44E-06	3.54E-06	4.54E-06	4.70E-06	3.80E-06	3.46E-06	1.01E-05	8.83E-06	5.07E-06	3.71E-06
