uniprot	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7WWE2	0.000101012	8.81E-05	3.43E-05	3.19E-05	8.79E-05	9.13E-05	5.17E-05	4.39E-05	0.000145065	0.000146131	4.01E-05	3.10E-05
M7WXM9	2.34E-05	2.46E-05	7.27E-06	6.45E-06	3.25E-05	3.58E-05	1.38E-05	1.14E-05	7.14E-05	7.41E-05	1.22E-05	8.95E-06
M7X3L7	5.83E-05	4.77E-05	2.33E-05	2.65E-05	0.000117007	0.000128573	9.66E-05	8.65E-05	9.20E-05	9.99E-05	2.42E-05	1.85E-05
M7WQZ1	3.43E-05	3.68E-05	2.28E-05	2.01E-05	2.88E-05	3.35E-05	2.71E-05	2.39E-05	5.59E-05	5.34E-05	2.77E-05	2.18E-05
M7X4F3	1.07E-05	1.12E-05	3.54E-06	3.44E-06	2.86E-05	2.92E-05	2.05E-05	1.58E-05	3.66E-05	3.42E-05	6.72E-06	6.33E-06
M7XE29	1.20E-05	1.28E-05	5.27E-06	5.09E-06	7.55E-05	9.33E-05	6.71E-05	5.04E-05	2.91E-05	2.75E-05	7.06E-06	5.69E-06
M7WI96	3.67E-05	3.90E-05	2.53E-05	2.42E-05	2.92E-05	3.48E-05	2.64E-05	2.44E-05	5.62E-05	5.41E-05	3.34E-05	2.72E-05
M7WXB6	2.15E-05	1.96E-05	8.30E-06	7.72E-06	2.45E-05	2.57E-05	1.58E-05	1.32E-05	4.24E-05	4.47E-05	1.12E-05	9.16E-06
M7WWX9	5.42E-05	5.92E-05	1.50E-05	1.36E-05	3.91E-05	4.00E-05	1.88E-05	1.64E-05	7.21E-05	7.59E-05	1.80E-05	1.42E-05
M7X749	1.99E-05	2.26E-05	1.52E-05	1.43E-05	2.83E-05	3.29E-05	2.20E-05	1.77E-05	5.34E-05	5.07E-05	2.22E-05	1.83E-05
M7X3Z4	4.38E-05	5.10E-05	2.62E-05	2.25E-05	2.00E-05	2.29E-05	1.78E-05	1.65E-05	3.91E-05	3.83E-05	2.03E-05	1.53E-05
M7X6X3	7.02E-06	8.18E-06	3.98E-06	3.91E-06	2.95E-05	3.59E-05	2.69E-05	2.32E-05	1.20E-05	1.27E-05	5.59E-06	4.44E-06
M7WZ10	2.79E-05	3.17E-05	1.21E-05	1.04E-05	3.17E-05	3.53E-05	2.95E-05	2.68E-05	2.52E-05	2.44E-05	1.26E-05	1.05E-05
M7WKZ9	6.95E-05	7.14E-05	1.95E-05	1.87E-05	5.41E-05	5.35E-05	2.68E-05	2.25E-05	0.000110606	9.88E-05	2.68E-05	2.17E-05
M7XNL9	2.28E-05	2.66E-05	1.81E-05	1.62E-05	1.29E-05	1.60E-05	1.43E-05	1.32E-05	3.04E-05	2.76E-05	1.60E-05	1.27E-05
M7XF42	4.11E-05	4.01E-05	1.73E-05	1.61E-05	3.47E-05	4.16E-05	3.52E-05	3.08E-05	3.72E-05	3.60E-05	1.48E-05	1.14E-05
M7WHC9	5.47E-06	5.41E-06	1.24E-05	1.30E-05	9.97E-07	9.68E-07	1.41E-06	1.47E-06	1.07E-05	1.13E-05	1.16E-05	8.57E-06
M7XHF8	2.40E-05	2.52E-05	1.12E-05	9.94E-06	6.64E-05	7.80E-05	5.35E-05	4.47E-05	4.74E-05	4.49E-05	1.36E-05	1.13E-05
M7XQS8	4.65E-05	4.35E-05	4.96E-05	4.93E-05	1.83E-05	2.19E-05	2.24E-05	2.21E-05	5.30E-05	5.17E-05	5.07E-05	4.61E-05
M7WQK0	5.80E-05	6.03E-05	1.68E-05	1.65E-05	5.11E-05	4.99E-05	2.51E-05	2.12E-05	0.000110954	9.42E-05	3.04E-05	2.46E-05
