logFC	logCPM	PValue	FDR
15S_rRNA	0.199498684116161	1.53616307549019	0.724084560651743	0.765599081716194
21S_rRNA	0.508514936806227	2.74915954812628	0.379172399694135	0.440499413905534
ICR1	0.00680805796954081	3.67356988104837	0.948101672818194	0.961698541755185
LSR1	1.95699500099183	4.27596485256585	2.95196312922522e-16	2.05407434408588e-15
NME1	0.804689277977418	1.47580373410075	0.00060220612954118	0.0012024122387252
RDN5-1	-0.604650580576495	2.60544071401741	0.114518122907868	0.151481398222685
RPR1	0.467043595116277	1.34117628084128	0.0534950336820402	0.0759056272118068
RUF20	0.344410669092491	2.77170410933971	0.00776762407892146	0.0129899738421351
RUF21	0.335610372636698	0.701806204121593	0.381495034757622	0.442769912927186
SCR1	0.422593030888562	1.84299435246994	0.351989249568699	0.412748072636439
SRG1	-0.340027865010577	4.41344758381832	0.0115786035000137	0.0187427475072919
TLC1	-1.29540323614224	6.73927628063219	1.54417520485264e-06	4.40815827710069e-06
YAL001C	-0.433304800595592	6.51789442515561	7.43367526617841e-07	2.20262472647928e-06
YAL002W	-0.227521301885485	6.20720143563716	0.00347572668041537	0.00615133023334036
YAL003W	-0.545299234376858	10.7250519486863	5.15666154083513e-08	1.74461728663482e-07
YAL005C	0.167118006371091	9.29164073459072	0.583929650611549	0.640150448482245
YAL007C	-0.567189612841123	7.50151245127146	2.54309800414953e-05	6.22774142604764e-05
YAL008W	0.500528216027421	4.99777232601065	2.87157777068941e-05	6.98944354549989e-05
YAL009W	0.0147602858154954	5.17216980963546	0.824572401910464	0.855449401257241
YAL010C	0.0311304560208694	5.77732012828113	0.644495661187947	0.695638763924944
YAL011W	-0.685327736941523	5.19760067169758	7.20619839281514e-18	5.49792699715794e-17
YAL012W	0.378403334730477	9.87529814368046	1.06879144957077e-05	2.74714587209042e-05
YAL013W	-0.400255312284768	6.73890685376658	2.05658557907812e-09	8.0706217372178e-09
YAL014C	-0.026673637627936	5.75277912263534	0.649887201174824	0.700577703687116
YAL015C	0.433525642158122	6.11104782906673	5.35746872897892e-07	1.62590116096019e-06
YAL016C-A	0.111649459776241	3.47893343094745	0.300894276803151	0.359049220889111
YAL016W	0.444724453941711	7.61932253104906	4.46115892827887e-16	3.0616994836544e-15
YAL017W	0.556905492536042	6.58631659445435	1.4264730462309e-15	9.43449499883409e-15
YAL019W	-0.655432177059795	7.17860315652149	2.1239155251802e-09	8.32397662150155e-09
YAL020C	0.0386406983913841	4.49156594386318	0.622758381370556	0.675354134426926
YAL021C	-0.533570168464601	7.75566521552321	1.59907097443824e-12	8.35240199680512e-12
YAL022C	-0.279356968423553	6.40366204025107	0.000851589420268495	0.00165956421220557
YAL023C	-0.54080272320544	8.77552309916228	0.00017413123000593	0.000376845556081949
YAL024C	-0.43819413550373	5.74681295285309	5.57577980817457e-05	0.000129788955353669
YAL025C	-1.11088343031717	7.83686903278127	1.5685725026215e-13	8.87136207503337e-13
YAL026C	-0.101454738148095	6.43905302719573	0.200024124385726	0.250009362953635
YAL026C-A	-0.310957341655634	1.03323331865608	0.205908169833427	0.256510550567461
YAL027W	-0.0501497798835766	5.02587043874153	0.447690507213848	0.509949853991977
YAL028W	1.93067873264968	3.61223569793391	1.42733330787272e-26	1.65021689364054e-25
YAL029C	-0.37142060175685	7.32272916513186	1.0942732064896e-08	3.97989746970085e-08
YAL030W	0.268839710821968	6.14197245471882	0.00798777053240272	0.0133247714874598
YAL031C	0.59622402583828	5.97500013285617	7.72496975000772e-21	6.77992965504327e-20
YAL032C	0.23075638380141	5.41660314111101	0.00148670696900922	0.0028010286109945
YAL033W	-0.484388224621575	5.45436609754961	2.39156742474931e-06	6.65037158075525e-06
YAL034C	1.15472087741855	5.49558837983554	1.65732875484607e-33	2.50096350817023e-32
YAL034W-A	-1.00037392374735	4.59399804767381	2.52198897853763e-05	6.17856468580611e-05
YAL035W	-0.485494203037873	9.14755696164674	4.24139493933883e-11	1.97515618708792e-10
YAL036C	-0.762365786011771	6.96435460708994	8.44080842827361e-11	3.81549926847977e-10
YAL037C-A	0.89955732324313	1.03090100617403	0.000559257806501883	0.00112224897619804
YAL037C-B	1.22371923356726	1.51554463925169	1.2013226373962e-07	3.92305904183918e-07
YAL037W	0.234645408539548	4.14753075530765	0.0937947190871382	0.126625155207789
YAL038W	0.120278294748792	11.299668496064	0.227171335308811	0.279257634185278
YAL039C	0.690695498400691	7.11697806548515	1.96089261682331e-10	8.57997555483385e-10
YAL040C	0.240273151488663	8.64292705880894	0.0755162477191238	0.103891002582923
YAL041W	0.350445465983461	7.28938923594084	1.11140124940521e-10	4.95310920046267e-10
YAL042W	-0.0124860411968925	8.10318790183625	0.827066177660461	0.857444707724554
YAL043C	0.0336829446703684	7.30773049397403	0.631655904188715	0.683375075757163
YAL044C	-0.525416476500202	7.88842968833746	0.00255943825450781	0.00462787054419082
YAL044W-A	0.56580813748169	2.25882390322733	0.000284908537151064	0.000597860427697102
YAL046C	0.0623667615044648	4.89152993331076	0.343551072578321	0.404272665558987
