logFC	logCPM	PValue	FDR
15S_rRNA	0.0722011588017958	1.98950796535307	0.858768440747933	0.879046326007624
21S_rRNA	0.309031686263108	3.71316961368954	0.472003522839237	0.516700826138407
ICR1	-0.935800939786298	3.21106353660097	2.83678529310164e-11	8.51035587930493e-11
LSR1	1.48082506544744	4.72528008878275	8.06180252579909e-26	5.68919529407845e-25
NME1	0.0385517135515563	1.25291666776727	0.852136733666249	0.873141623606359
Q0050	0.583719558760037	0.801945339223572	0.243179598399954	0.280955069996063
Q0055	0.0578571931198637	0.433390904797811	0.893799571054842	0.909840589857738
RDN5-1	0.533753438212905	3.00166493519724	0.0270861552337942	0.0362083427563649
RNA170	0.453700146549918	1.34781419976071	0.00795215230426242	0.0113905150659827
RPR1	2.01693134997358	1.98769119136451	1.01785839393471e-15	4.06309315498404e-15
RUF20	0.139786878286926	3.44793626480921	0.087762874160155	0.109146082638931
SCR1	0.0817235416733495	1.2937654835219	0.760993609442175	0.79341525780872
SRG1	-0.526052321111079	4.89268903929461	5.34260539025129e-06	1.05685371947311e-05
TLC1	-2.16676374131553	5.4908527748743	4.84008149397183e-86	2.15988636668493e-84
YAL001C	-0.357377401463231	6.48707177716931	3.40001029077455e-06	6.83493290980813e-06
YAL002W	-0.245139268814375	6.20688747745618	6.05647801786128e-06	1.19069533820538e-05
YAL003W	-1.22444136995387	9.42928554331904	1.01593039318905e-39	1.25318730818381e-38
YAL005C	-1.51168223766044	10.0558198710564	1.63883624019299e-47	2.68088871744778e-46
YAL007C	-0.942710468648807	6.63496577951076	1.03162051396403e-25	7.24641770746264e-25
YAL008W	-0.212403407959625	6.33728531499852	0.05012624623563	0.0643027242451994
YAL009W	0.120117453937941	5.35947599919569	0.0409053164027473	0.0531821690763224
YAL010C	0.0426014409857343	5.80636207623349	0.442428573346651	0.486871987604864
YAL011W	-0.0110131704038208	5.56473883276346	0.847373816806123	0.868994879046361
YAL012W	-0.777947671404726	8.55135374084323	1.32647126022543e-14	4.89085909982269e-14
YAL013W	-0.012735602328831	6.73244802264494	0.874743950603799	0.892839057553726
YAL014C	0.406738200998743	6.17589893609915	3.34585905927474e-13	1.13822974387547e-12
YAL015C	0.522994235605412	6.27855673084451	1.69301735112909e-15	6.62898213161446e-15
YAL016W	0.547417916783522	7.78097313165748	2.15587130570289e-30	1.86647403057216e-29
YAL017W	-0.0931381767097998	6.92594956066372	0.112579862171358	0.137612725784083
YAL018C	1.21240520102227	2.93248468609324	1.67396947170333e-16	7.02580962916148e-16
YAL019W	-0.607212231608898	6.29707488802675	3.48334259679342e-18	1.61623900764062e-17
YAL020C	0.30286292279931	4.46243982096688	0.00012554343412791	0.000218128571921639
YAL021C	-0.218853409305152	7.15339359130208	0.000332835675572508	0.00055509197995316
YAL022C	-0.00879812380332658	6.50000831107713	0.961461104646585	0.966877786926284
YAL023C	-1.03834428258846	7.63441948154863	1.1548726264801e-27	8.87205312671865e-27
YAL024C	-1.0897234467711	4.90145175563547	1.62630931976539e-13	5.61757043918961e-13
YAL025C	-1.1751977784287	5.99108421518666	1.07086601671323e-10	3.10515329929889e-10
YAL026C	0.0754898014727751	6.34549053309024	0.1057573057129	0.129901050065086
YAL027W	-0.380699518821607	5.16308550672054	0.000238743530885584	0.000404278596245705
YAL028W	0.570787748215059	4.06840888029633	1.79577240463741e-11	5.45472608796019e-11
YAL029C	-0.68589458355148	6.56444106522213	1.13189912252055e-26	8.25660549828994e-26
YAL030W	0.0476880702895668	6.72773965041678	0.467981069975653	0.512759904979642
