logFC	logCPM	F	PValue	FDR
15S_rRNA	0.149049615813439	1.76284138105365	0.101901709984146	0.750864514987953	0.777293515940598
21S_rRNA	0.416838599446702	3.25139370105235	1.03187087675138	0.314519423661872	0.352762389692977
ICR1	-0.409340895843394	3.49191990495336	13.181591627069	0.000655661796001197	0.00108175312034019
LSR1	1.73355509185101	4.48377781796007	135.268871550074	5.93441493429777e-16	6.59283177372351e-15
NME1	0.443927505560549	1.37546196264785	7.74468146390173	0.00753802628810041	0.0107929219289641
RDN5-1	0.0460643168017331	2.79693013220287	0.0371571043052344	0.847911873738574	0.866267408511569
RNA170	0.36415223976301	0.975315002155937	5.51873386753531	0.0227291715581316	0.030365415063837
RPR1	1.36670153306006	1.6701527182199	48.0884864512858	6.93811156961949e-09	2.3584155910577e-08
RUF20	0.237930740427992	3.10815799448132	10.8564133174269	0.00179610183481637	0.00278732295956208
RUF21	-0.186331036228679	0.44738210532605	0.377016058669798	0.541936646886571	0.579232848708821
SCR1	0.273428016642981	1.61203627834146	0.839509374752992	0.3638537896875	0.402826308713857
snR10	0.0787429700682229	0.666570951107191	0.208867778144166	0.649598996994539	0.682325516511862
snR11	1.20408162262964	3.84291571000068	277.487381072704	2.91361689246853e-22	1.08822697186186e-20
snR13	-0.219611473747716	0.984467595475449	1.74806920499547	0.192024887112087	0.224385319143645
snR14	0.474650628276545	1.37409420417792	13.313885744151	0.000620011486375118	0.00102711018477598
snR17a	0.605587183141068	2.48175801172191	10.6431046695646	0.00197505422054156	0.00304948772372736
snR17b	-0.139739877868723	1.27478947884347	0.545911076430465	0.463383605705474	0.502418413452347
snR18	0.000349082303061681	2.02329909980702	1.12347042727557e-06	0.999158430642297	0.999158430642297
snR19	0.703175367028468	2.10886714103984	29.2577783730478	1.70422900620702e-06	3.99666648296931e-06
snR191	0.0355671527000262	0.631334859372952	0.0325062497322565	0.857636289777612	0.874880987293248
snR24	-0.838782486321822	1.32740673250912	16.7682314618987	0.00015116826588476	0.000270919164764915
snR3	-0.150325520413574	2.16751070862168	2.66713900859499	0.34858340554953	0.387329033215101
snR30	-0.0619696676987679	2.75678049741409	0.220691269919683	0.640518239794161	0.673326772198633
snR31	0.582193756164366	2.91880660399996	28.0369915882076	2.55034014000369e-06	5.83701908734678e-06
snR32	0.591975778857499	0.442911052520338	8.18817265462352	0.00610197180819075	0.00886183310311671
snR33	-0.0661039988473486	3.82033841995709	0.266932211261895	0.607632623296495	0.642122445865139
snR34	0.670184585081584	0.992503664556993	10.3658537627829	0.00223607982509755	0.00342903122800853
snR35	0.448694597985329	0.834913161786283	8.6138823821578	0.00499316012368352	0.00732490574288802
snR36	0.747537475603689	1.87701990013383	37.3170458926126	1.3896711201287e-07	3.86492360865398e-07
snR37	0.384666075805196	2.06228825427257	7.79895486608664	0.00734455151898632	0.010533246088949
snR38	0.150432615219079	0.211934629296035	0.351763148050042	0.55574048470518	0.592634098946424
snR39	-0.515795714873947	2.57355410386083	12.3532890192616	0.00093361696490384	0.00150725539176202
snR39B	0.296543493178116	1.09559953722981	3.65814123398144	0.0614250969141846	0.0775198984273541
snR4	-0.347156207939668	4.18185275028464	13.9071336145791	0.000483381639097197	0.000814961899425017
snR40	0.0817084139221962	1.03173382880431	0.264154168059497	0.609502492958061	0.64376321601816
snR41	0.317383412923989	2.64735116570651	8.08791756312003	0.00639916796185021	0.00925151616047117
snR42	1.35564489296365	1.61454865497997	97.3294698210399	2.06422304852494e-13	1.4216051945045e-12
snR43	0.612583874354104	2.75309655311161	36.8134819487567	1.61354583317649e-07	4.44491720922102e-07
snR44	0.0638051719736048	4.15458652167881	0.324790891688312	0.571247193828969	0.60768004823183
snR45	0.641073203066858	1.68599468803624	15.3104324135971	0.00027125453171956	0.000471154804310608
snR46	0.268777456804409	2.03376002671609	5.08118153121457	0.0285165394821849	0.0376183515422626
snR47	-0.0655648211848382	1.16423912641793	0.19470094154517	0.660899471056631	0.69311903183338
snR48	-0.0607594427745335	1.22744052868648	0.171548758012168	0.680477611283124	0.71132343706931
snR49	0.987550599193231	2.98828201364314	77.7969833747815	7.84186711825954e-12	4.23238360070604e-11
snR5	1.0494769646398	1.4401834088039	45.7883823142674	1.27748899358511e-08	4.17463928767909e-08
snR50	0.176207427143375	1.01200137776728	1.33893634475999	0.252618000887925	0.28832740708768
snR51	-0.445771995484651	0.936020763785624	4.27715914048455	0.04372251837193	0.0561922507596179
snR54	0.0750801981109095	1.31346841343535	0.120910921208687	0.729481113500808	0.756701485601111
snR55	0.436889898312865	1.000051767506	5.96951390100962	0.018060101596146	0.0245041004050228
snR57	1.35656248417601	2.29774880476124	79.965376989265	5.09836801104743e-12	2.8371905348498e-11
snR58	0.0855707156430701	0.632721777838984	0.229365936009813	0.760586842371585	0.78588810189379
snR59	-0.434412372938346	0.599793847186259	3.13374263322723	0.0826707629687835	0.1025885864154
snR61	0.287171004357992	2.15762045593682	5.83260537804755	0.0193590402364153	0.026103618374152
snR62	0.719104245994441	1.65176768467465	37.9252923795774	1.16165164997897e-07	3.26506705681993e-07
snR63	-0.886737812089509	2.59595085642457	53.1265540156452	1.91507004990798e-09	7.11345116768747e-09
snR66	-0.541233275065364	1.73035596267421	16.5427420296504	0.000165312757796984	0.00029453440721921
snR67	0.920711040006511	1.7877808116792	35.3925828848415	2.47151861143489e-07	6.62846048740775e-07
snR68	-0.326079678627604	3.79564090658249	15.1007438540686	0.000295429334518089	0.000510668310206169
snR69	1.27578564618005	2.00043110947427	105.783174488125	4.96147853961716e-14	3.78514803874552e-13
snR70	0.283759300225894	2.58956685156105	4.91251033804887	0.0311543892382754	0.0407537433783026
snR71	0.124927673829052	1.49665306825462	0.971129046213236	0.32905566194134	0.367239389532333
snR72	-0.227748118951563	1.45186713555128	1.4242554417047	0.238231882706037	0.273548793269399
snR76	0.166558707142052	2.8622762200379	1.46361193235337	0.231939792953918	0.266928064178346
snR77	0.726749054447178	0.505218755565664	13.2141033185478	0.000646706272840945	0.00106842545157549
snR8	1.71228289829612	1.35778688995216	145.36407051847	1.53230069765641e-16	1.88457508026914e-15
snR82	0.839460208199156	2.26582300788032	44.5740484692364	1.77411361827514e-08	5.63716268687841e-08
snR83	-0.42428115718682	2.64933895211083	13.105431858663	0.00067715245908568	0.00111569801648542
snR84	-0.303436811564548	2.85495315871058	9.42098092472025	0.0034341388359867	0.00516095710527945
snR85	-0.233477144217046	0.654631765868664	1.79681146820937	0.186045327950213	0.21781614549248
snR86	0.531851507501442	5.52589231990253	39.3025819448482	7.77821624399194e-08	2.23366889119919e-07
snR87	-0.181822887713671	1.95325460149651	1.66971706693625	0.202126795763995	0.23510659774765
