logFC	logCPM	PValue	FDR
15S_rRNA	0.199502800059547	1.5361630754902	0.724031823303251	0.765543320734989
21S_rRNA	0.508515947043276	2.74915954812628	0.379068184460278	0.440395939596321
ICR1	0.00680835083911857	3.67356988104837	0.948103337434226	0.961700230243727
LSR1	1.95699495890005	4.27596485256585	2.90885360818334e-16	2.02877353740119e-15
NME1	0.804750799409208	1.47580373410075	0.000571430633426377	0.00114514698938646
RDN5-1	-0.60464730078833	2.60544071401741	0.114088932554473	0.151046611433052
RPR1	0.467007270491064	1.34117628084128	0.0524830071463612	0.0745400044800197
RUF20	0.344395627105619	2.77170410933971	0.00797813216827475	0.0133197807819128
RUF21	0.335627739957377	0.701806204121593	0.3802329980546	0.44121999311026
SCR1	0.422601917587318	1.84299435246994	0.351508804688461	0.412293682103909
SRG1	-0.340030504594824	4.41344758381832	0.011611031362628	0.0187851239375995
TLC1	-1.29540328021662	6.73927628063219	1.54634854668301e-06	4.41855867997066e-06
YAL001C	-0.433306585507201	6.51789442515561	7.87045277759784e-07	2.32516767070851e-06
YAL002W	-0.227517997266525	6.20720143563716	0.00353104192267596	0.00624314748148341
YAL003W	-0.545299208523792	10.7250519486863	4.8984946503154e-08	1.65727348552032e-07
YAL005C	0.167117997288117	9.29164073459072	0.583882053979313	0.640098269242092
YAL007C	-0.567189417943494	7.50151245127146	2.52435909525109e-05	6.18437118200879e-05
YAL008W	0.5005266163121	4.99777232601065	2.95479675321579e-05	7.18618045320929e-05
YAL009W	0.0147225471188887	5.17216980963546	0.827004707492568	0.857528855026788
YAL010C	0.0311281155885832	5.77732012828113	0.64383824356289	0.694929177791758
YAL011W	-0.68531963397685	5.19760067169758	1.2220495473595e-17	9.20671914627234e-17
YAL012W	0.378403266371469	9.87529814368046	1.00059995545522e-05	2.58180555029904e-05
YAL013W	-0.400255873601046	6.73890685376658	2.01589221583352e-09	7.91092950495505e-09
YAL014C	-0.0266719495762738	5.75277912263534	0.650017731907782	0.700718415676812
YAL015C	0.433524737225634	6.11104782906673	5.27924009287523e-07	1.60216009279989e-06
YAL016C-A	0.111661584755701	3.47893343094745	0.30317874939201	0.361578665130314
YAL016W	0.444727206158152	7.61932253104906	3.53560247738859e-16	2.45167728881894e-15
YAL017W	0.556909696762726	6.58631659445435	1.61464298025175e-15	1.06555802385e-14
YAL019W	-0.655433558492179	7.17860315652149	1.9350734600438e-09	7.60370041946622e-09
YAL020C	0.0385874004897193	4.49156594386318	0.627913818301265	0.679938378174929
YAL021C	-0.533570937084546	7.75566521552321	1.36511652644208e-12	7.16775594495179e-12
YAL022C	-0.279351353902179	6.40366204025107	0.000891324538909138	0.0017308824202915
YAL023C	-0.540802469123563	8.77552309916228	0.000170183392743488	0.000368832933371973
YAL024C	-0.438193998342402	5.74681295285309	5.46737494160649e-05	0.000127501389251118
YAL025C	-1.11088366365203	7.83686903278127	1.49846005659379e-13	8.48280777800552e-13
YAL026C	-0.101454013830846	6.43905302719573	0.201711393600301	0.251961125768753
YAL026C-A	-0.311050240527506	1.03323331865608	0.209492189347439	0.26022046329686
YAL027W	-0.0502567890844375	5.02587043874153	0.454185905847755	0.51685891840937
YAL028W	1.93067756192549	3.61223569793391	1.27395511934164e-26	1.48143485057678e-25
YAL029C	-0.371424361562665	7.32272916513186	8.999867560127e-09	3.29119244352089e-08
YAL030W	0.268839758441987	6.14197245471882	0.00798461076694536	0.0133268961496045
YAL031C	0.596213386398969	5.97500013285617	5.0369867353786e-21	4.45984745995525e-20
YAL032C	0.230766104809268	5.41660314111101	0.00155317896009412	0.0029143919813002
YAL033W	-0.484392652173536	5.45436609754961	2.46085108357434e-06	6.84303270788571e-06
YAL034C	1.15472016077627	5.49558837983554	1.87551499850122e-33	2.83306436457018e-32
YAL034W-A	-1.00037426285792	4.59399804767381	2.53164461078719e-05	6.19716913682922e-05
